Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
ABCA1	q31.1	Minus	chr9	104781002	104928237	Protein coding	ATP Binding Cassette Subfamily A Member 1
ABCA10	q24.3	Minus	chr17	69147214	69244846	Protein coding	ATP Binding Cassette Subfamily A Member 10
ABCA11P	p16.3	Minus	chr4	425435	474129	Pseudogene	ATP Binding Cassette Subfamily A Member 11, Pseudogene
ABCA12	q35	Minus	chr2	214931542	215138428	Protein coding	ATP Binding Cassette Subfamily A Member 12
ABCA13	p12.3	Plus	chr7	48171458	48647496	Protein coding	ATP Binding Cassette Subfamily A Member 13
ABCA17P	p13.3	Plus	chr16	2339150	2426699	Pseudogene	ATP Binding Cassette Subfamily A Member 17, Pseudogene
ABCA2	q34.3	Minus	chr9	137007227	137028922	Protein coding	ATP Binding Cassette Subfamily A Member 2
ABCA3	p13.3	Minus	chr16	2275881	2340746	Protein coding	ATP Binding Cassette Subfamily A Member 3
ABCA4	p22.1	Minus	chr1	93992835	94121132	Protein coding	ATP Binding Cassette Subfamily A Member 4
ABCA5	q24.3	Minus	chr17	69244311	69327244	Protein coding	ATP Binding Cassette Subfamily A Member 5
ABCA6	q24.3	Minus	chr17	69078702	69141888	Protein coding	ATP Binding Cassette Subfamily A Member 6
ABCA7	p13.3	Plus	chr19	1040101	1065572	Protein coding	ATP Binding Cassette Subfamily A Member 7
ABCA8	q24.2	Minus	chr17	68867292	68955392	Protein coding	ATP Binding Cassette Subfamily A Member 8
ABCA9	q24.2	Minus	chr17	68974488	69061064	Protein coding	ATP Binding Cassette Subfamily A Member 9
ABCA9-AS1	q24.2	Plus	chr17	68944531	69042784	Non-protein coding RNA	ABCA9 Antisense RNA 1
ABCB1	q21.12	Minus	chr7	87503633	87713323	Protein coding	ATP Binding Cassette Subfamily B Member 1
ABCB10	q42.13	Minus	chr1	229516582	229558695	Protein coding	ATP Binding Cassette Subfamily B Member 10
ABCB10P1	q11.2	Plus	chr15	23179869	23182049	Pseudogene	ATP Binding Cassette Subfamily B Member 10 Pseudogene 1
ABCB10P3	q13.1	Plus	chr15	28402868	28405033	Pseudogene	ATP Binding Cassette Subfamily B Member 10 Pseudogene 3
ABCB10P4	q13.1	Minus	chr15	28506625	28508808	Pseudogene	ATP Binding Cassette Subfamily B Member 10 Pseudogene 4
ABCB11	q31.1	Minus	chr2	168922938	168953422	Protein coding	ATP Binding Cassette Subfamily B Member 11
ABCB4	q21.12	Minus	chr7	87401697	87480435	Protein coding	ATP Binding Cassette Subfamily B Member 4
ABCB5	p21.1	Plus	chr7	20615207	20777038	Protein coding	ATP Binding Cassette Subfamily B Member 5
ABCB6	q35	Minus	chr2	219209766	219219017	Protein coding	ATP Binding Cassette Subfamily B Member 6 (Langereis Blood Group)
ABCB7	q13.3	Minus	chrX	75051554	75156732	Protein coding	ATP Binding Cassette Subfamily B Member 7
ABCB8	q36.1	Plus	chr7	151028422	151047782	Protein coding	ATP Binding Cassette Subfamily B Member 8
ABCB9	q24.31	Minus	chr12	122920951	122981649	Protein coding	ATP Binding Cassette Subfamily B Member 9
ABCC1	p13.11	Plus	chr16	15949577	16143074	Protein coding	ATP Binding Cassette Subfamily C Member 1
ABCC10	p21.1	Plus	chr6	43427366	43450430	Protein coding	ATP Binding Cassette Subfamily C Member 10
ABCC11	q12.1	Minus	chr16	48166910	48247568	Protein coding	ATP Binding Cassette Subfamily C Member 11
ABCC12	q12.1	Minus	chr16	48082973	48156018	Protein coding	ATP Binding Cassette Subfamily C Member 12
ABCC13	q11.2	Plus	chr21	14236206	14362754	Pseudogene	ATP Binding Cassette Subfamily C Member 13 (pseudogene)
ABCC2	q24.2	Plus	chr10	99782732	99852192	Protein coding	ATP Binding Cassette Subfamily C Member 2
ABCC3	q21.33	Plus	chr17	50634777	50692252	Protein coding	ATP Binding Cassette Subfamily C Member 3
ABCC4	q32.1	Minus	chr13	95019829	95301475	Protein coding	ATP Binding Cassette Subfamily C Member 4
ABCC5	q27.1	Minus	chr3	183919934	184018015	Protein coding	ATP Binding Cassette Subfamily C Member 5
ABCC5-AS1	q27.1	Plus	chr3	184006338	184011419	Non-protein coding RNA	ABCC5 Antisense RNA 1
ABCC6	p13.11	Minus	chr16	16148928	16223522	Protein coding	ATP Binding Cassette Subfamily C Member 6
ABCC6P1	p12.3	Plus	chr16	18571162	18598328	Pseudogene	ATP Binding Cassette Subfamily C Member 6 Pseudogene 1
ABCC6P2	p13.11	Minus	chr16	14820792	14824702	Pseudogene	ATP Binding Cassette Subfamily C Member 6 Pseudogene 2
ABCC8	p15.1	Minus	chr11	17392498	17476879	Protein coding	ATP Binding Cassette Subfamily C Member 8
ABCC9	p12.1	Minus	chr12	21797401	21942529	Protein coding	ATP Binding Cassette Subfamily C Member 9
ABCD1	q28	Plus	chrX	153724868	153744762	Protein coding	ATP Binding Cassette Subfamily D Member 1
ABCD1P2	p11.1	Plus	chr10	38601418	38605609	Pseudogene	ATP Binding Cassette Subfamily D Member 1 Pseudogene 2
ABCD1P3	p11.2	Minus	chr16	32475051	32478250	Pseudogene	ATP Binding Cassette Subfamily D Member 1 Pseudogene 3
ABCD1P4	q11.1	Plus	chr22	16387694	16390887	Pseudogene	ATP Binding Cassette Subfamily D Member 1 Pseudogene 4
ABCD1P5	p11.1	Plus	chr2	91840601	91843802	Pseudogene	ATP Binding Cassette Subfamily D Member 1 Pseudogene 5
ABCD2	q12	Minus	chr12	39550033	39619751	Protein coding	ATP Binding Cassette Subfamily D Member 2
ABCD3	p21.3	Plus	chr1	94418455	94518666	Protein coding	ATP Binding Cassette Subfamily D Member 3
ABCD4	q24.3	Minus	chr14	74285423	74303056	Protein coding	ATP Binding Cassette Subfamily D Member 4
ABCE1	q31.21	Plus	chr4	145097932	145129179	Protein coding	ATP Binding Cassette Subfamily E Member 1
ABCF1	p21.33	Plus	chr6	30560870	30586674	Protein coding	ATP Binding Cassette Subfamily F Member 1
ABCF2	q36.1	Minus	chr7	151207837	151227166	Protein coding	ATP Binding Cassette Subfamily F Member 2
ABCF2P1	p11.1	Plus	chr3	88317156	88319022	Pseudogene	ATP Binding Cassette Subfamily F Member 2 Pseudogene 1
ABCF2P2	q11.22	Plus	chr7	72103181	72104209	Pseudogene	ATP Binding Cassette Subfamily F Member 2 Pseudogene 2
ABCF3	q27.1	Plus	chr3	184186023	184194012	Protein coding	ATP Binding Cassette Subfamily F Member 3
ABCG1	q22.3	Plus	chr21	42199689	42297244	Protein coding	ATP Binding Cassette Subfamily G Member 1
ABCG2	q22.1	Minus	chr4	88090264	88231322	Protein coding	ATP Binding Cassette Subfamily G Member 2 (Junior Blood Group)
ABCG4	q23.3	Plus	chr11	119149012	119162653	Protein coding	ATP Binding Cassette Subfamily G Member 4
ABCG5	p21	Minus	chr2	43812472	43838865	Protein coding	ATP Binding Cassette Subfamily G Member 5
ABCG8	p21	Plus	chr2	43831942	43882987	Protein coding	ATP Binding Cassette Subfamily G Member 8
ABHD1	p23.3	Plus	chr2	27123789	27130812	Protein coding	Abhydrolase Domain Containing 1
ABHD10	q13.2	Plus	chr3	111979010	111993363	Protein coding	Abhydrolase Domain Containing 10
ABHD11	q11.23	Minus	chr7	73736094	73738867	Protein coding	Abhydrolase Domain Containing 11
ABHD11-AS1	q11.23	Plus	chr7	73735038	73736158	Pseudogene	ABHD11 Antisense RNA 1 (tail To Tail)
ABHD12	p11.21	Minus	chr20	25294743	25390983	Protein coding	Abhydrolase Domain Containing 12
ABHD12B	q22.1	Plus	chr14	50872160	50904970	Protein coding	Abhydrolase Domain Containing 12B
ABHD13	q33.3	Plus	chr13	108218379	108234255	Protein coding	Abhydrolase Domain Containing 13
ABHD14A	p21.2	Plus	chr3	51971426	51981199	Protein coding	Abhydrolase Domain Containing 14A
ABHD14A-ACY1	p21.2	Plus	chr3	51974706	51989183	Protein coding	ABHD14A-ACY1 Readthrough
ABHD14B	p21.2	Minus	chr3	51968510	51983409	Protein coding	Abhydrolase Domain Containing 14B
ABHD15	q11.2	Minus	chr17	29560547	29567137	Protein coding	Abhydrolase Domain Containing 15
ABHD15-AS1	q11.2	Plus	chr17	29560547	29707090	Non-protein coding RNA	ABHD15 Antisense RNA 1
ABHD16A	p21.33	Minus	chr6	31669120	31685587	Protein coding	Abhydrolase Domain Containing 16A
ABHD16B	q13.33	Plus	chr20	63861498	63862988	Protein coding	Abhydrolase Domain Containing 16B
ABHD17A	p13.3	Minus	chr19	1876810	1885547	Protein coding	Abhydrolase Domain Containing 17A
ABHD17AP1	q21.2	Plus	chr1	148146395	148149566	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene 1
ABHD17AP3	q41	Minus	chr1	214605470	214608840	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene 3
ABHD17AP4	q11.21	Minus	chr22	20667836	20670984	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene P4
ABHD17AP5	q11.22	Minus	chr22	22114844	22118005	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene 5
ABHD17AP6	p11.2	Plus	chr17	20814620	20844257	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene 6
ABHD17AP7	p11.2	Minus	chr16	32726615	32729537	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene 7
ABHD17AP8	p11.2	Plus	chr16	32199902	32202822	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene 8
ABHD17AP9	p11.2	Plus	chr16	33140850	33143797	Pseudogene	Abhydrolase Domain Containing 17A Pseudogene 9
ABHD17B	q21.13	Minus	chr9	71862452	71910931	Protein coding	Abhydrolase Domain Containing 17B
ABHD17C	q25.1	Plus	chr15	80679684	80755621	Protein coding	Abhydrolase Domain Containing 17C
ABHD18	q28.2	Plus	chr4	127965306	128039927	Protein coding	Abhydrolase Domain Containing 18
ABHD2	q26.1	Plus	chr15	89087459	89202360	Protein coding	Abhydrolase Domain Containing 2
ABHD3	q11.2	Minus	chr18	21650897	21704805	Protein coding	Abhydrolase Domain Containing 3
ABHD4	q11.2	Plus	chr14	22598237	22613215	Protein coding	Abhydrolase Domain Containing 4
ABHD5	p21.33	Plus	chr3	43690108	43734371	Protein coding	Abhydrolase Domain Containing 5
ABHD6	p14.3	Plus	chr3	58237506	58295693	Protein coding	Abhydrolase Domain Containing 6
ABHD8	p13.11	Minus	chr19	17292131	17310236	Protein coding	Abhydrolase Domain Containing 8
ABI1	p12.1	Minus	chr10	26746593	26861087	Protein coding	Abl Interactor 1
ABI1P1	q22.3	Plus	chr14	55546674	55548123	Pseudogene	Abl Interactor 1 Pseudogene 1
ABI2	q33.2	Plus	chr2	203328219	203447723	Protein coding	Abl Interactor 2
ABI3	q21.32	Plus	chr17	49210227	49223225	Protein coding	ABI Family Member 3
ABI3BP	q12.2	Minus	chr3	100749156	100993515	Protein coding	ABI Family Member 3 Binding Protein
ABL1	q34.12	Plus	chr9	130713946	130887675	Protein coding	ABL Proto-oncogene 1, Non-receptor Tyrosine Kinase
ABL2	q25.2	Minus	chr1	179099327	179229684	Protein coding	ABL Proto-oncogene 2, Non-receptor Tyrosine Kinase
ABLIM1	q25.3	Minus	chr10	114431113	114685003	Protein coding	Actin Binding LIM Protein 1
ABLIM2	p16.1	Minus	chr4	7965310	8158832	Protein coding	Actin Binding LIM Protein Family Member 2
ABLIM3	q32	Plus	chr5	149141483	149260542	Protein coding	Actin Binding LIM Protein Family Member 3
ABO	q34.2	Minus	chr9	133250401	133275219	Protein coding	ABO, Alpha 1-3-N-acetylgalactosaminyltransferase And Alpha 1-3-galactosyltransferase
ABR	p13.3	Minus	chr17	1003518	1116206	Protein coding	Active BCR-related
ABRA	q23.1	Minus	chr8	106759483	106770245	Protein coding	Actin Binding Rho Activating Protein
ABRACL	q24.1	Plus	chr6	139028682	139043302	Protein coding	ABRA C-terminal Like
ABRAXAS1	q21.23	Minus	chr4	83459517	83523348	Protein coding	Abraxas 1, BRCA1 A Complex Subunit
ABRAXAS2	q26.13	Plus	chr10	124801785	124836670	Protein coding	Abraxas 2, BRISC Complex Subunit
ABT1	p22.2	Plus	chr6	26596952	26600744	Protein coding	Activator Of Basal Transcription 1
ABT1P1	q23	Minus	chr4	99022311	99023131	Pseudogene	Activator Of Basal Transcription 1 Pseudogene 1
ABTB1	q21.3	Plus	chr3	127672935	127680920	Protein coding	Ankyrin Repeat And BTB Domain Containing 1
ABTB2	p13	Minus	chr11	34150988	34358008	Protein coding	Ankyrin Repeat And BTB Domain Containing 2
ACAA1	p22.2	Minus	chr3	38103129	38137242	Protein coding	Acetyl-CoA Acyltransferase 1
ACAA2	q21.1	Minus	chr18	49782167	49813960	Protein coding	Acetyl-CoA Acyltransferase 2
ACACA	q12	Minus	chr17	37084988	37406818	Protein coding	Acetyl-CoA Carboxylase Alpha
ACACB	q24.11	Plus	chr12	109116595	109268226	Protein coding	Acetyl-CoA Carboxylase Beta
ACAD10	q24.12	Plus	chr12	111686056	111757107	Protein coding	Acyl-CoA Dehydrogenase Family Member 10
ACAD11	q22.1	Minus	chr3	132558138	132660723	Protein coding	Acyl-CoA Dehydrogenase Family Member 11
ACAD8	q25	Plus	chr11	134253495	134265855	Protein coding	Acyl-CoA Dehydrogenase Family Member 8
ACAD9	q21.3	Plus	chr3	128879596	128916067	Protein coding	Acyl-CoA Dehydrogenase Family Member 9
ACADL	q34	Minus	chr2	210187939	210225491	Protein coding	Acyl-CoA Dehydrogenase Long Chain
ACADM	p31.1	Plus	chr1	75724347	75787575	Protein coding	Acyl-CoA Dehydrogenase Medium Chain
ACADS	q24.31	Plus	chr12	120725735	120740008	Protein coding	Acyl-CoA Dehydrogenase Short Chain
ACADSB	q26.13	Plus	chr10	123008979	123058311	Protein coding	Acyl-CoA Dehydrogenase Short/branched Chain
ACADVL	p13.1	Plus	chr17	7217125	7225273	Protein coding	Acyl-CoA Dehydrogenase Very Long Chain
ACAN	q26.1	Plus	chr15	88803442	88875354	Protein coding	Aggrecan
ACAP1	p13.1	Plus	chr17	7336529	7351478	Protein coding	ArfGAP With Coiled-coil, Ankyrin Repeat And PH Domains 1
ACAP2	q29	Minus	chr3	195274736	195443078	Protein coding	ArfGAP With Coiled-coil, Ankyrin Repeat And PH Domains 2
ACAP3	p36.33	Minus	chr1	1292376	1309609	Protein coding	ArfGAP With Coiled-coil, Ankyrin Repeat And PH Domains 3
ACAT1	q22.3	Plus	chr11	108121516	108147776	Protein coding	Acetyl-CoA Acetyltransferase 1
ACAT2	q25.3	Plus	chr6	159760328	159779055	Protein coding	Acetyl-CoA Acetyltransferase 2
ACBD3	q42.12	Minus	chr1	226144679	226186730	Protein coding	Acyl-CoA Binding Domain Containing 3
ACBD3-AS1	q42.12	Plus	chr1	226148003	226155071	Non-protein coding RNA	ACBD3 Antisense RNA 1
ACBD4	q21.31	Plus	chr17	45132600	45144181	Protein coding	Acyl-CoA Binding Domain Containing 4
ACBD5	p12.1	Minus	chr10	27195214	27242130	Protein coding	Acyl-CoA Binding Domain Containing 5
ACBD6	q25.3	Minus	chr1	180269653	180502954	Protein coding	Acyl-CoA Binding Domain Containing 6
ACBD7	p13	Minus	chr10	15077523	15088776	Protein coding	Acyl-CoA Binding Domain Containing 7
ACCS	p11.2	Plus	chr11	44065925	44084222	Protein coding	1-aminocyclopropane-1-carboxylate Synthase Homolog (inactive)
ACCSL	p11.2	Plus	chr11	44047981	44059977	Protein coding	1-aminocyclopropane-1-carboxylate Synthase Homolog (inactive) Like
ACD	q22.1	Minus	chr16	67657512	67660815	Protein coding	ACD, Shelterin Complex Subunit And Telomerase Recruitment Factor
ACE	q23.3	Plus	chr17	63477061	63498380	Protein coding	Angiotensin I Converting Enzyme
ACE2	p22.2	Minus	chrX	15561033	15602148	Protein coding	Angiotensin I Converting Enzyme 2
ACE3P	q23.3	Plus	chr17	63507056	63519806	Pseudogene	Angiotensin I Converting Enzyme 3, Pseudogene
ACER1	p13.3	Minus	chr19	6306142	6333629	Protein coding	Alkaline Ceramidase 1
ACER2	p22.1	Plus	chr9	19409059	19452020	Protein coding	Alkaline Ceramidase 2
ACER3	q13.5	Plus	chr11	76860867	77026797	Protein coding	Alkaline Ceramidase 3
ACHE	q22.1	Minus	chr7	100889994	100896974	Protein coding	Acetylcholinesterase (Cartwright Blood Group)
ACIN1	q11.2	Minus	chr14	23058564	23095614	Protein coding	Apoptotic Chromatin Condensation Inducer 1
ACKR1	q23.2	Plus	chr1	159203307	159206500	Protein coding	Atypical Chemokine Receptor 1 (Duffy Blood Group)
ACKR2	p22.1	Plus	chr3	42804752	42887974	Protein coding	Atypical Chemokine Receptor 2
ACKR3	q37.3	Plus	chr2	236567787	236582358	Protein coding	Atypical Chemokine Receptor 3
ACKR4	q22.1	Plus	chr3	132597237	132618967	Protein coding	Atypical Chemokine Receptor 4
ACLY	q21.2	Minus	chr17	41866908	41930542	Protein coding	ATP Citrate Lyase
ACMSD	q21.3	Plus	chr2	134838547	134902034	Protein coding	Aminocarboxymuconate Semialdehyde Decarboxylase
ACO1	p21.1	Plus	chr9	32384603	32454769	Protein coding	Aconitase 1
ACO2	q13.2	Plus	chr22	41469125	41528989	Protein coding	Aconitase 2
ACOD1	q22.3	Plus	chr13	76948497	76958642	Protein coding	Aconitate Decarboxylase 1
ACOT1	q24.3	Plus	chr14	73537114	73543794	Protein coding	Acyl-CoA Thioesterase 1
ACOT11	p32.3	Plus	chr1	54542257	54639192	Protein coding	Acyl-CoA Thioesterase 11
ACOT12	q14.1	Minus	chr5	81330005	81394179	Protein coding	Acyl-CoA Thioesterase 12
ACOT13	p22.3	Plus	chr6	24667035	24705065	Protein coding	Acyl-CoA Thioesterase 13
ACOT2	q24.3	Plus	chr14	73567620	73575658	Protein coding	Acyl-CoA Thioesterase 2
ACOT4	q24.3	Plus	chr14	73591706	73596496	Protein coding	Acyl-CoA Thioesterase 4
ACOT6	q24.3	Plus	chr14	73610945	73619888	Protein coding	Acyl-CoA Thioesterase 6
ACOT7	p36.31	Minus	chr1	6264269	6394391	Protein coding	Acyl-CoA Thioesterase 7
ACOT8	q13.12	Minus	chr20	45841721	45857406	Protein coding	Acyl-CoA Thioesterase 8
ACOT9	p22.11	Minus	chrX	23702253	23766475	Protein coding	Acyl-CoA Thioesterase 9
ACOX1	q25.1	Minus	chr17	75941507	75979363	Protein coding	Acyl-CoA Oxidase 1
ACOX2	p14.3	Minus	chr3	58505136	58537319	Protein coding	Acyl-CoA Oxidase 2
ACOX3	p16.1	Minus	chr4	8366282	8440723	Protein coding	Acyl-CoA Oxidase 3, Pristanoyl
ACOXL	q13	Plus	chr2	110732573	111118222	Protein coding	Acyl-CoA Oxidase Like
ACOXL-AS1	q13	Minus	chr2	111098345	111115588	Non-protein coding RNA	ACOXL Antisense RNA 1
ACP1	p25.3	Plus	chr2	264140	278283	Protein coding	Acid Phosphatase 1
ACP2	p11.2	Minus	chr11	47239302	47248906	Protein coding	Acid Phosphatase 2, Lysosomal
ACP4	q13.33	Plus	chr19	50790415	50795224	Protein coding	Acid Phosphatase 4
ACP5	p13.2	Minus	chr19	11574660	11579008	Protein coding	Acid Phosphatase 5, Tartrate Resistant
ACP6	q21.2	Minus	chr1	147629652	147670496	Protein coding	Acid Phosphatase 6, Lysophosphatidic
ACP7	q13.2	Plus	chr19	39083913	39111493	Protein coding	Acid Phosphatase 7, Tartrate Resistant (putative)
ACPP	q22.1	Plus	chr3	132317367	132368298	Protein coding	Acid Phosphatase, Prostate
ACR	q13.33	Plus	chr22	50738196	50745334	Protein coding	Acrosin
ACRBP	p13.31	Minus	chr12	6638075	6647460	Protein coding	Acrosin Binding Protein
ACRV1	q24.2	Minus	chr11	125671522	125681123	Protein coding	Acrosomal Vesicle Protein 1
ACSBG1	q25.1	Minus	chr15	78167468	78245688	Protein coding	Acyl-CoA Synthetase Bubblegum Family Member 1
ACSBG2	p13.3	Plus	chr19	6135247	6193094	Protein coding	Acyl-CoA Synthetase Bubblegum Family Member 2
ACSF2	q21.33	Plus	chr17	50426158	50474845	Protein coding	Acyl-CoA Synthetase Family Member 2
ACSF3	q24.3	Plus	chr16	89088375	89155846	Protein coding	Acyl-CoA Synthetase Family Member 3
ACSL1	q35.1	Minus	chr4	184755595	184826818	Protein coding	Acyl-CoA Synthetase Long Chain Family Member 1
ACSL3	q36.1	Plus	chr2	222860934	222944639	Protein coding	Acyl-CoA Synthetase Long Chain Family Member 3
ACSL4	q23	Minus	chrX	109624244	109733403	Protein coding	Acyl-CoA Synthetase Long Chain Family Member 4
ACSL5	q25.2	Plus	chr10	112374018	112428380	Protein coding	Acyl-CoA Synthetase Long Chain Family Member 5
ACSL6	q31.1	Minus	chr5	131949973	132012243	Protein coding	Acyl-CoA Synthetase Long Chain Family Member 6
ACSM1	p12.3	Minus	chr16	20623237	20698890	Protein coding	Acyl-CoA Synthetase Medium Chain Family Member 1
ACSM2A	p12.3	Plus	chr16	20451461	20487667	Protein coding	Acyl-CoA Synthetase Medium Chain Family Member 2A
ACSM2B	p12.3	Minus	chr16	20536226	20576427	Protein coding	Acyl-CoA Synthetase Medium Chain Family Member 2B
ACSM3	p12.3	Plus	chr16	20610243	20797581	Protein coding	Acyl-CoA Synthetase Medium Chain Family Member 3
ACSM4	p13.31	Plus	chr12	7304284	7328724	Protein coding	Acyl-CoA Synthetase Medium Chain Family Member 4
ACSM5	p12.3	Plus	chr16	20409534	20441336	Protein coding	Acyl-CoA Synthetase Medium Chain Family Member 5
ACSM5P1	p12.3	Minus	chr16	20586550	20607107	Pseudogene	Acyl-CoA Synthetase Medium Chain Family Member 5 Pseudogene 1
ACSM6	q23.33	Plus	chr10	95194200	95228928	Protein coding	Acyl-CoA Synthetase Medium Chain Family Member 6
ACSS1	p11.21	Minus	chr20	25006230	25058980	Protein coding	Acyl-CoA Synthetase Short Chain Family Member 1
ACSS2	q11.22	Plus	chr20	34872146	34927962	Protein coding	Acyl-CoA Synthetase Short Chain Family Member 2
ACSS3	q21.31	Plus	chr12	80936414	81261205	Protein coding	Acyl-CoA Synthetase Short Chain Family Member 3
ACTA1	q42.13	Minus	chr1	229431245	229434098	Protein coding	Actin, Alpha 1, Skeletal Muscle
ACTA2	q23.31	Minus	chr10	88935074	88991339	Protein coding	Actin, Alpha 2, Smooth Muscle, Aorta
ACTA2-AS1	q23.31	Plus	chr10	88932390	88940820	Non-protein coding RNA	ACTA2 Antisense RNA 1
ACTB	p22.1	Minus	chr7	5527147	5563784	Protein coding	Actin Beta
ACTBL2	q11.2	Minus	chr5	57480016	57482809	Protein coding	Actin, Beta Like 2
ACTBP1	p11.3	Minus	chrX	46288016	46289128	Pseudogene	Actin, Beta Pseudogene 1
ACTBP11	q41	Minus	chr1	223863726	223864851	Pseudogene	Actin, Beta Pseudogene 11
ACTBP12	p22.1	Minus	chr1	92229018	92229435	Pseudogene	Actin, Beta Pseudogene 12
ACTBP13	p21.31	Minus	chr3	49873347	49877305	Pseudogene	Actin, Beta Pseudogene 13
ACTBP14	q22.1	Plus	chr10	69022778	69023866	Pseudogene	Actin, Beta Pseudogene 14
ACTBP2	q14.1	Plus	chr5	77784881	77786003	Pseudogene	Actin, Beta Pseudogene 2
