Gene.name	Gene.stable.ID	HGNC.ID	NCBI.gene.ID	UniProtKB.Swiss.Prot.ID	MIM.gene.accession
AC008687.4	ENSG00000268655	NA	NA	NA	NA
AC008687.8	ENSG00000283663	NA	NA	NA	NA
AC008695.1	ENSG00000273217	NA	NA	NA	NA
AC008750.8	ENSG00000269403	NA	NA	NA	NA
AC008758.1	ENSG00000196826	NA	NA	NA	NA
AC008758.4	ENSG00000268744	NA	NA	NA	NA
AC008758.5	ENSG00000268870	NA	NA	NA	NA
AC008758.6	ENSG00000269755	NA	NA	NA	NA
AC008763.2	ENSG00000268400	NA	NA	NA	NA
AC008763.3	ENSG00000269711	NA	NA	NA	NA
AC008764.1	ENSG00000141979	NA	NA	NA	NA
AC008764.4	ENSG00000268790	NA	NA	NA	NA
AC008770.1	ENSG00000257355	NA	NA	NA	NA
AC008770.2	ENSG00000267179	NA	NA	NA	NA
AC008878.1	ENSG00000267952	NA	NA	NA	NA
AC008878.2	ENSG00000268614	NA	NA	NA	NA
AC008878.3	ENSG00000268861	NA	23370	NA	616432
AC008982.1	ENSG00000268083	NA	NA	NA	NA
AC008982.3	ENSG00000282832	NA	NA	NA	NA
AC009086.2	ENSG00000277669	NA	NA	NA	NA
AC009119.2	ENSG00000260300	NA	NA	NA	NA
AC009133.6	ENSG00000280893	NA	NA	NA	NA
AC009163.2	ENSG00000260092	NA	NA	NA	NA
AC009163.4	ENSG00000261717	NA	NA	NA	NA
AC009286.3	ENSG00000281536	NA	NA	A0A0G2JS06	NA
AC009336.2	ENSG00000278500	NA	3233	NA	142981
AC009477.2	ENSG00000284479	NA	NA	NA	NA
AC009690.1	ENSG00000260729	NA	NA	NA	NA
AC009690.3	ENSG00000273025	NA	NA	NA	NA
AC009779.3	ENSG00000258311	NA	NA	NA	NA
AC010132.3	ENSG00000256646	NA	NA	NA	NA
AC010255.3	ENSG00000250803	NA	NA	NA	NA
AC010319.2	ENSG00000269035	NA	NA	NA	NA
AC010323.1	ENSG00000167774	NA	NA	NA	NA
AC010325.1	ENSG00000261341	NA	NA	NA	NA
AC010326.2	ENSG00000269476	NA	NA	NA	NA
AC010327.1	ENSG00000267110	NA	NA	NA	NA
AC010422.3	ENSG00000269242	NA	NA	NA	NA
AC010422.5	ENSG00000269590	NA	NA	NA	NA
AC010422.6	ENSG00000269693	NA	NA	NA	NA
AC010463.1	ENSG00000269307	NA	NA	NA	NA
AC010487.3	ENSG00000283088	NA	NA	NA	NA
AC010522.1	ENSG00000268750	NA	NA	NA	NA
AC010531.1	ENSG00000131152	NA	NA	NA	NA
AC010542.3	ENSG00000260851	NA	NA	NA	NA
AC010547.4	ENSG00000261611	NA	NA	NA	NA
AC010615.4	ENSG00000269237	NA	NA	NA	NA
AC010616.1	ENSG00000268041	NA	390937	NA	NA
AC010616.2	ENSG00000285505	NA	NA	NA	NA
AC010619.1	ENSG00000269469	NA	NA	NA	NA
AC010646.1	ENSG00000269095	NA	NA	NA	NA
AC010724.2	ENSG00000282755	NA	NA	NA	NA
AC011005.1	ENSG00000230626	NA	NA	NA	NA
AC011043.1	ENSG00000276256	NA	389831	NA	NA
AC011043.2	ENSG00000278198	NA	NA	NA	NA
AC011195.2	ENSG00000266826	NA	NA	NA	NA
AC011295.1	ENSG00000275049	NA	NA	NA	NA
AC011330.3	ENSG00000284772	NA	NA	NA	NA
AC011448.1	ENSG00000258674	NA	NA	NA	NA
AC011452.1	ENSG00000269179	NA	NA	NA	NA
AC011455.2	ENSG00000269547	NA	NA	NA	NA
AC011455.3	ENSG00000282835	NA	NA	NA	NA
AC011462.1	ENSG00000255730	NA	NA	NA	NA
AC011473.4	ENSG00000269741	NA	NA	NA	NA
AC011479.1	ENSG00000267748	NA	NA	NA	NA
AC011498.4	ENSG00000267385	NA	NA	NA	NA
AC011499.1	ENSG00000267157	NA	NA	NA	NA
AC011511.1	ENSG00000167807	NA	NA	NA	NA
AC011511.4	ENSG00000267303	NA	NA	NA	NA
AC011530.1	ENSG00000268434	NA	NA	NA	NA
AC011604.2	ENSG00000257046	NA	NA	NA	NA
AC011841.1	ENSG00000273496	NA	NA	NA	NA
AC012184.2	ENSG00000260537	NA	NA	NA	NA
AC012254.2	ENSG00000267228	NA	NA	NA	NA
AC012309.1	ENSG00000267360	NA	NA	NA	NA
AC012314.1	ENSG00000273642	NA	4696	NA	603832
AC012314.11	ENSG00000276220	NA	4696	NA	603832
AC012314.13	ENSG00000276766	NA	4696	NA	603832
AC012314.14	ENSG00000277079	NA	6203	P46781	603631
AC012314.15	ENSG00000277359	NA	6203	P46781	603631
AC012314.16	ENSG00000277722	NA	4696	NA	603832
AC012314.17	ENSG00000278081	NA	6203	P46781	603631
AC012314.18	ENSG00000278365	NA	4696	NA	603832
AC012314.3	ENSG00000274005	NA	6203	P46781	603631
AC012314.5	ENSG00000274359	NA	4696	NA	603832
AC012314.6	ENSG00000274626	NA	6203	P46781	603631
AC012314.7	ENSG00000275323	NA	6203	P46781	603631
AC012314.8	ENSG00000275605	NA	4696	NA	603832
AC012314.9	ENSG00000275724	NA	4696	NA	603832
AC012476.1	ENSG00000285396	NA	5888	NA	179617
AC012531.3	ENSG00000273049	NA	NA	NA	NA
AC012651.1	ENSG00000258461	NA	NA	NA	NA
AC013271.1	ENSG00000284337	NA	NA	NA	NA
AC013394.1	ENSG00000279765	NA	NA	NA	NA
AC013470.2	ENSG00000226690	NA	NA	NA	NA
AC015688.5	ENSG00000266728	NA	NA	NA	NA
AC015802.6	ENSG00000284526	NA	NA	NA	NA
AC015813.2	ENSG00000266086	NA	NA	NA	NA
AC017081.3	ENSG00000284220	NA	NA	NA	NA
AC017081.4	ENSG00000284455	NA	NA	NA	NA
AC017083.3	ENSG00000273398	NA	NA	NA	NA
AC018512.1	ENSG00000262560	NA	NA	NA	NA
AC018523.2	ENSG00000256206	NA	NA	NA	NA
AC018554.3	ENSG00000278499	NA	NA	A8MU76	NA
AC018630.2	ENSG00000275778	NA	NA	NA	NA
AC018709.1	ENSG00000272297	NA	NA	NA	NA
AC018755.2	ENSG00000268500	NA	NA	NA	NA
AC019117.3	ENSG00000283321	NA	NA	NA	NA
AC020636.2	ENSG00000260234	NA	NA	NA	NA
AC020909.1	ENSG00000142539	NA	NA	NA	NA
AC020915.1	ENSG00000267216	NA	NA	NA	NA
AC020915.5	ENSG00000283515	NA	NA	NA	NA
AC020922.1	ENSG00000267706	NA	NA	NA	NA
AC021072.1	ENSG00000283536	NA	NA	NA	NA
AC021097.2	ENSG00000285480	NA	NA	NA	NA
AC022167.5	ENSG00000283516	NA	NA	NA	NA
AC022335.1	ENSG00000257062	NA	NA	NA	NA
AC022384.1	ENSG00000272410	NA	NA	NA	NA
AC022400.6	ENSG00000272916	NA	8509	NA	603268
AC022414.1	ENSG00000284762	NA	8622	NA	603390
AC022506.1	ENSG00000285133	NA	NA	NA	NA
AC022826.2	ENSG00000258677	NA	NA	NA	NA
AC023055.1	ENSG00000257390	NA	NA	NA	NA
AC023491.2	ENSG00000278633	NA	101929738	NA	NA
AC023509.3	ENSG00000267281	NA	NA	NA	NA
AC024592.3	ENSG00000267740	NA	NA	NA	NA
AC024940.7	ENSG00000275428	NA	144203	NA	NA
AC025165.3	ENSG00000257921	NA	NA	NA	NA
AC025263.2	ENSG00000258052	NA	NA	NA	NA
AC025283.2	ENSG00000262621	NA	NA	NA	NA
AC025283.3	ENSG00000285329	NA	NA	NA	NA
AC025287.4	ENSG00000284484	NA	NA	NA	NA
AC025594.2	ENSG00000272899	NA	100130705	NA	NA
AC026316.5	ENSG00000285218	NA	NA	NA	NA
AC026369.8	ENSG00000282676	NA	NA	NA	NA
AC026398.1	ENSG00000281938	NA	NA	NA	NA
AC026461.4	ENSG00000275691	NA	NA	NA	NA
AC026464.1	ENSG00000259900	NA	NA	NA	NA
AC026464.3	ENSG00000260371	NA	NA	NA	NA
AC026464.4	ENSG00000260914	NA	NA	NA	NA
AC026786.1	ENSG00000256825	NA	NA	NA	NA
AC026954.2	ENSG00000261915	NA	NA	NA	NA
AC027455.4	ENSG00000285073	NA	NA	NA	NA
AC027644.4	ENSG00000284461	NA	NA	NA	NA
AC027796.3	ENSG00000262304	NA	NA	NA	NA
AC034102.2	ENSG00000257411	NA	NA	NA	NA
AC036214.3	ENSG00000276418	NA	NA	NA	NA
AC037459.1	ENSG00000248235	NA	NA	NA	NA
AC037482.2	ENSG00000262731	NA	728279	NA	NA
AC037482.3	ENSG00000266286	NA	100996750	NA	NA
AC040162.1	ENSG00000261884	NA	NA	NA	NA
AC044810.8	ENSG00000284476	NA	NA	NA	NA
AC046185.1	ENSG00000125695	NA	NA	NA	NA
AC048338.1	ENSG00000256861	NA	NA	NA	NA
AC051649.2	ENSG00000283787	NA	NA	NA	NA
AC055811.2	ENSG00000264187	NA	NA	NA	NA
AC058822.1	ENSG00000282278	NA	NA	NA	NA
AC064853.2	ENSG00000284622	NA	NA	NA	NA
AC064853.3	ENSG00000284631	NA	NA	NA	NA
AC064853.4	ENSG00000284643	NA	NA	NA	NA
AC064853.5	ENSG00000284667	NA	NA	NA	NA
AC064853.6	ENSG00000284704	NA	NA	NA	NA
AC067968.1	ENSG00000267022	NA	NA	NA	NA
AC068234.1	ENSG00000259753	NA	NA	NA	NA
AC068533.4	ENSG00000249319	NA	NA	NA	NA
AC068547.1	ENSG00000283228	NA	NA	NA	NA
AC068580.4	ENSG00000250644	NA	NA	NA	NA
AC068631.2	ENSG00000283149	NA	NA	NA	NA
AC068775.1	ENSG00000255641	NA	NA	NA	NA
AC068790.8	ENSG00000274874	NA	NA	NA	NA
AC068831.7	ENSG00000284946	NA	NA	NA	NA
AC068896.1	ENSG00000258539	NA	NA	NA	NA
AC068946.1	ENSG00000280537	NA	NA	NA	NA
AC068946.2	ENSG00000284820	NA	NA	NA	NA
AC068987.5	ENSG00000284730	NA	NA	NA	NA
AC069257.3	ENSG00000272741	NA	NA	NA	NA
AC069368.1	ENSG00000249240	NA	NA	NA	NA
AC069503.2	ENSG00000256950	NA	NA	NA	NA
AC073082.1	ENSG00000279956	NA	NA	NA	NA
AC073111.3	ENSG00000284041	NA	NA	NA	NA
AC073111.5	ENSG00000284691	NA	NA	NA	NA
AC073283.3	ENSG00000273269	NA	NA	NA	NA
AC073508.2	ENSG00000264058	NA	NA	NA	NA
AC073610.2	ENSG00000255863	NA	NA	NA	NA
AC073610.3	ENSG00000272822	NA	NA	NA	NA
AC073612.1	ENSG00000258064	NA	NA	NA	NA
AC073896.1	ENSG00000144785	NA	NA	NA	NA
AC074143.1	ENSG00000265690	NA	NA	NA	NA
AC078864.2	ENSG00000284791	NA	NA	NA	NA
AC078927.1	ENSG00000228144	NA	NA	NA	NA
AC079325.2	ENSG00000284690	NA	100130520	NA	616560
AC079341.3	ENSG00000284849	NA	132332	NA	NA
AC079447.1	ENSG00000241962	NA	NA	NA	NA
AC079594.2	ENSG00000248710	NA	NA	NA	NA
AC079597.3	ENSG00000285333	NA	NA	NA	NA
AC083800.1	ENSG00000251012	NA	NA	NA	NA
AC083902.2	ENSG00000248713	NA	285556	NA	NA
AC084337.2	ENSG00000283977	NA	NA	NA	NA
AC087289.3	ENSG00000267426	NA	NA	NA	NA
AC087498.1	ENSG00000180042	NA	NA	NA	NA
AC087632.1	ENSG00000259316	NA	NA	NA	NA
AC090004.1	ENSG00000268279	NA	NA	NA	NA
AC090227.1	ENSG00000266997	NA	NA	NA	NA
AC090360.1	ENSG00000267127	NA	NA	NA	NA
AC090517.4	ENSG00000285253	NA	54816	NA	NA
AC090527.2	ENSG00000260170	NA	NA	NA	NA
AC090958.3	ENSG00000282035	NA	NA	NA	NA
AC091057.5	ENSG00000284906	NA	NA	Q3KRB8	NA
AC091167.2	ENSG00000261147	NA	NA	NA	NA
AC091167.6	ENSG00000275674	NA	NA	NA	NA
AC091167.7	ENSG00000284626	NA	NA	NA	NA
AC091304.7	ENSG00000274700	NA	NA	NA	NA
AC091491.1	ENSG00000284599	NA	NA	NA	NA
AC091551.1	ENSG00000267699	NA	NA	NA	NA
AC091959.3	ENSG00000275740	NA	NA	NA	NA
AC091980.2	ENSG00000275038	NA	NA	NA	NA
AC092017.3	ENSG00000283952	NA	NA	NA	NA
AC092042.3	ENSG00000273291	NA	NA	NA	NA
AC092073.1	ENSG00000266953	NA	NA	NA	NA
AC092111.3	ENSG00000284393	NA	NA	NA	NA
AC092143.1	ENSG00000198211	NA	NA	NA	NA
AC092329.3	ENSG00000283201	NA	NA	NA	NA
AC092442.1	ENSG00000284684	NA	NA	NA	NA
AC092587.1	ENSG00000273155	NA	NA	NA	NA
AC092647.5	ENSG00000249773	NA	NA	NA	NA
AC092718.3	ENSG00000260643	NA	NA	NA	NA
AC092718.8	ENSG00000284512	NA	NA	NA	NA
AC092824.3	ENSG00000283760	NA	NA	NA	NA
AC092835.1	ENSG00000233757	NA	NA	NA	NA
AC093155.3	ENSG00000267561	NA	NA	NA	NA
AC093227.2	ENSG00000267552	NA	NA	NA	NA
AC093323.1	ENSG00000170846	NA	NA	B2RBV5	NA
AC093423.3	ENSG00000271949	NA	NA	NA	NA
AC093525.1	ENSG00000259784	NA	NA	NA	NA
AC093525.2	ENSG00000260272	NA	NA	NA	NA
AC093668.1	ENSG00000270249	NA	NA	NA	NA
AC093668.2	ENSG00000272949	NA	NA	NA	NA
AC093762.1	ENSG00000284635	NA	NA	NA	NA
AC093762.2	ENSG00000284718	NA	NA	NA	NA
AC093762.3	ENSG00000284725	NA	NA	NA	NA
AC093827.5	ENSG00000285458	NA	NA	Q96KX1	NA
AC093899.2	ENSG00000251569	NA	NA	NA	NA
AC096582.3	ENSG00000283247	NA	NA	NA	NA
AC096887.1	ENSG00000272305	NA	NA	NA	NA
AC097637.1	ENSG00000173366	NA	NA	NA	NA
AC097662.2	ENSG00000284629	NA	NA	NA	NA
AC098484.3	ENSG00000283580	NA	NA	NA	NA
AC098582.1	ENSG00000285385	NA	NA	NA	NA
AC098650.1	ENSG00000283563	NA	NA	NA	NA
AC098850.3	ENSG00000266302	NA	NA	NA	NA
AC099329.3	ENSG00000280571	NA	NA	NA	NA
AC099489.1	ENSG00000188897	NA	400499	NA	NA
AC099518.3	ENSG00000261427	NA	NA	NA	NA
AC099811.2	ENSG00000267261	NA	NA	NA	NA
AC099850.2	ENSG00000265303	NA	NA	NA	NA
AC100868.1	ENSG00000258417	NA	NA	NA	NA
AC104109.3	ENSG00000272772	NA	NA	NA	NA
AC104151.1	ENSG00000261833	NA	NA	NA	NA
AC104304.1	ENSG00000283877	NA	NA	NA	NA
AC104389.4	ENSG00000239920	NA	NA	P69892	NA
AC104389.5	ENSG00000284931	NA	NA	NA	NA
AC104452.1	ENSG00000283189	NA	NA	NA	NA
AC104472.3	ENSG00000284952	NA	NA	NA	NA
AC104532.1	ENSG00000267314	NA	NA	NA	NA
AC104534.3	ENSG00000283890	NA	NA	NA	NA
AC104581.2	ENSG00000262730	NA	NA	NA	NA
AC104662.2	ENSG00000281028	NA	55300	NA	612101
AC105001.2	ENSG00000258724	NA	NA	NA	NA
AC105052.1	ENSG00000205236	NA	NA	NA	NA
AC105052.3	ENSG00000267645	NA	NA	NA	NA
AC106774.10	ENSG00000284552	NA	NA	NA	NA
AC106774.5	ENSG00000284042	NA	NA	NA	NA
